"id","coordinate","commentary","id","object_name","tag"
1,POINT (65.34920737750632 55.44483498578434),Тест теста,1,Детская площадка,baby
2,POINT (68.349207378 58.444834986),new comment,3,Отдых (скамья),brench
4,POINT (54.861004799753246 83.08279162642066),"",1,Детская площадка,baby
5,POINT (54.860927636572825 83.08214253183907),"",3,Отдых (скамья),brench
6,POINT (54.86046160801864 83.07903116938179),"",6,Выгул собак,dog
12,POINT (54.87956707821196 83.01955930738221),"",1,Детская площадка,baby
13,POINT (54.86379959438438 83.08553092641934),"",1,Детская площадка,baby
22,POINT (54.874327102218786 83.29669495637478),"",1,Детская площадка,baby
23,POINT (53.14771553507057 89.8113224523766),"",1,Детская площадка,baby
24,POINT (55.20067723010861 85.29180025671211),"",1,Детская площадка,baby
25,POINT (54.86393240615848 83.09936525831417),"",3,Отдых (скамья),brench
27,POINT (54.86134037625031 83.09031720678364),я хочу тут беседку для работы,14,Зона работы,work
29,POINT (54.86572065874526 83.09712299563375),"",13,Прогулка,walk
30,POINT (54.86572065874526 83.09712299563375),"",13,Прогулка,walk
7,POINT (54.86167769662304 83.08249121901099),я бы могла тут гулять со своей выдуманной собакой,6,Выгул собак,dog
31,POINT (54.84986682252559 83.10033380985261),Аквадискотека,3,Отдых (скамья),brench
32,POINT (54.849684606065885 83.10044109821321),Аквадискотека 2,3,Отдых (скамья),brench
37,POINT (54.868148682705936 83.08121348750528),"",7,Клумба,flower
41,POINT (54.84365597125143 83.10574597117011),"",3,Отдых (скамья),brench
42,POINT (54.843643619841636 83.10584253069466),"",3,Отдых (скамья),brench
43,POINT (54.836872799146015 83.09507314141698),"",8,Детская площадка,kids
44,POINT (54.838814219669146 83.09662592404494),"",5,Танцы,dance
45,POINT (54.98367288629169 82.92416750221055),"",1,Детская площадка,baby
46,POINT (54.98406466965768 82.92627653051004),"",1,Детская площадка,baby
47,POINT (54.98335075043743 82.92656481495388),"",1,Детская площадка,baby
48,POINT (54.983559703718555 82.9281427929621),"",4,Велопарковка,bike
49,POINT (54.84385015592759 83.09594035148622),"",3,Отдых (скамья),brench
50,POINT (54.84385015592759 83.09596180915834),"",3,Отдых (скамья),brench
51,POINT (54.848819838764925 83.05468797683717),"",13,Прогулка,walk
60,POINT (54.84748432330989 83.10825987888427),"",13,Прогулка,walk
61,POINT (54.84748432330989 83.10825987888427),"",13,Прогулка,walk
62,POINT (54.84526535596585 83.10285833877913),"",13,Прогулка,walk
63,POINT (54.84526535596585 83.10288868451003),"",13,Прогулка,walk
64,POINT (54.84405972412077 83.09970238276264),"",13,Прогулка,walk
65,POINT (54.84405972412077 83.09970238276264),"",13,Прогулка,walk
66,POINT (54.8428540562527 83.09721403282653),"",13,Прогулка,walk
67,POINT (54.8428540562527 83.09721403282653),"",13,Прогулка,walk
68,POINT (54.84299384567779 83.09460429996675),"",13,Прогулка,walk
69,POINT (54.84297637202613 83.09463464569768),"",13,Прогулка,walk
70,POINT (54.84276668761612 83.09272286464922),"",13,Прогулка,walk
71,POINT (54.84276668761612 83.09272286464922),"",13,Прогулка,walk
72,POINT (54.844391713295245 83.0913876524884),"",13,Прогулка,walk
73,POINT (54.84437424024891 83.0913876524884),"",13,Прогулка,walk
74,POINT (54.84734454944083 83.09169110979767),"",13,Прогулка,walk
75,POINT (54.84732707767316 83.09169110979767),"",13,Прогулка,walk
76,POINT (54.86685579011871 83.09417945973381),"",6,Выгул собак,dog
77,POINT (54.864651408209276 83.09788763523103),"",6,Выгул собак,dog
78,POINT (54.870948958741984 83.09186875820161),"",11,Спортивная площадка,sport
79,POINT (54.83512933887009 83.10401380062105),"",6,Выгул собак,dog
80,POINT (55.011132004732346 82.9266929626465),"",2,Барбекю,bbk
81,POINT (55.01099358224549 82.92706310749055),"",2,Барбекю,bbk
82,POINT (55.01087976784282 82.92737424373628),"",2,Барбекю,bbk
84,POINT (55.02248873242699 82.93355191949998),"",6,Выгул собак,dog
85,POINT (55.02935499680149 82.93259650468828),"",6,Выгул собак,dog
87,POINT (55.030060623224266 82.93147802352907),"",6,Выгул собак,dog
88,POINT (55.03106139233375 82.92748957872392),"",6,Выгул собак,dog
89,POINT (55.030176955477906 82.92760415623815),"",11,Спортивная площадка,sport
90,POINT (55.0293365488852 82.91496098041534),"",4,Велопарковка,bike
91,POINT (55.02142322318076 83.02579535508791),"",2,Барбекю,bbk
92,POINT (54.869387010984354 83.07999998331071),"",2,Барбекю,bbk
93,POINT (54.867000756555555 83.08033257722856),"",3,Отдых (скамья),brench
94,POINT (54.86720141728287 83.07986050844194),"",3,Отдых (скамья),brench
95,POINT (54.86709645641162 83.07981222867967),"",14,Зона работы,work
96,POINT (54.8680225723148 83.08017164468767),"",3,Отдых (скамья),brench
99,POINT (54.869371576416 83.07975322008133),"",3,Отдых (скамья),brench
100,POINT (54.87050137120332 83.08268755674364),"",2,Барбекю,bbk
101,POINT (54.87060632321013 83.08225840330125),"",3,Отдых (скамья),brench
102,POINT (54.87052915264347 83.08324545621873),"",3,Отдых (скамья),brench
103,POINT (54.870325421637695 83.08204382658005),"",3,Отдых (скамья),brench
104,POINT (54.84489109107681 83.09612274169923),"",1,Детская площадка,baby
105,POINT (54.84489109107681 83.09612274169923),"",1,Детская площадка,baby
106,POINT (54.84162919859094 83.09680938720705),"",1,Детская площадка,baby
107,POINT (54.84162919859094 83.09680938720705),"",1,Детская площадка,baby
108,POINT (54.87160644039032 83.08016896247865),"",6,Выгул собак,dog
109,POINT (54.84489109107681 83.09625148773193),"",1,Детская площадка,baby
110,POINT (54.84489109107681 83.09625148773193),"",1,Детская площадка,baby
111,POINT (54.8678003064382 83.07943671941759),"",4,Велопарковка,bike
112,POINT (54.8681707488851 83.08131426572801),"",12,Беседка,umbrella
113,POINT (54.865065101028286 83.0802145600319),"",3,Отдых (скамья),brench
114,POINT (54.865281207529556 83.07800978422166),"",3,Отдых (скамья),brench
115,POINT (54.86192525162844 83.08074027299882),"",13,Прогулка,walk
116,POINT (54.86231736024244 83.08193653821947),"",13,Прогулка,walk
118,POINT (54.86287001079129 83.08340638875963),"",13,Прогулка,walk
119,POINT (54.8633578189488 83.08470457792284),"",13,Прогулка,walk
120,POINT (54.86930675116442 83.08000534772874),"",10,Грядка,plant
121,POINT (54.869516661125125 83.08140546083452),"",5,Танцы,dance
122,POINT (54.86946109683011 83.08348149061204),"",9,Парковка,parking
123,POINT (54.869942651509064 83.08000534772874),"",12,Беседка,umbrella
124,POINT (54.86788365628552 83.08325082063675),"",12,Беседка,umbrella
125,POINT (54.859371821180396 83.07801514863968),"",13,Прогулка,walk
126,POINT (54.85860915703067 83.07798296213151),"",13,Прогулка,walk
127,POINT (54.85928536605016 83.07958155870439),"",13,Прогулка,walk
128,POINT (54.858575191895014 83.07923287153244),"",13,Прогулка,walk
